"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bangladesh","BGD","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0621543756920915","0.0564493839372543","0.0584425472655655","0.0593292929583578","0.061538118341893","0.0715549719282475","0.0695785795134505","0.0750803653629868","0.0724330888645664","0.0722785709722725","0.0706293452886737","0.0832932792880736","0.085380838131801","0.0855375344036079","0.0866663969265598","0.0871674828659615","0.0896895010945665","0.0886517508273837","0.0915213066875172","0.0937662418047147","0.100205213713086","0.101246558435167","0.103230306659281","0.103945715098674","0.103215738824796","0.106865537630626","0.110640427816748","0.112153366937667","0.114383406827648","0.102380173913022","0.0913277453169154","","",
"Bulgaria","BGR","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.674964840184926","0.589199447668015","0.598010059730154","0.613146615284","0.578496211823521","0.574530903784631","0.550272252120081","0.613981599242679","0.563468625754959","0.540103823863926","0.505917935723416","0.51830968769628","0.462154728634566","0.482803201659406","0.446978656569487","0.423876354387316","0.404894389223214","0.407889721917379","0.365630670262994","0.324379157258973","0.333054763535564","0.361943406368391","0.325855715501976","0.288611666524444","0.303152390956907","0.31063498124042","0.281413070030163","0.289029572811421","0.262289242595059","0.241400184932632","0.21913465190151","","",
"Bahrain","BHR","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.560899278794363","0.485910307218588","0.540209074763368","0.509576154671655","0.522809626115867","0.509204035313145","0.511472312687893","0.505268051328727","0.518065863982893","0.495487560606651","0.48351020400527","0.486907873372267","0.495143915374658","0.485360210170305","0.453263387405034","0.490036846311522","0.500122263372584","0.472408878796541","0.478687421432834","0.465980210503563","0.469183672656534","0.460977906645363","0.464165853331876","0.467516995914092","0.470226328371416","0.462000075360433","0.443327468737258","0.42808654209144","0.423762835754239","0.443315424395065","0.457905531935945","","",
"Bahamas, The","BHS","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.205822340114985","0.222343352275457","0.216464699600705","0.20171954118941","0.19818667665595","0.197530766349549","0.186620441925268","0.164896273449908","0.193221269716628","0.184385320443503","0.176033966142141","0.164977514062619","0.163340607560877","0.169207584371361","0.166039226776177","0.149921806473297","0.142577240659672","0.142395066018299","0.149518230893645","0.158183353603872","0.153529229416414","0.168289261372946","0.179052320930473","0.215977885265372","0.190404286027009","0.165212029530954","0.153909720514896","0.159646873249974","0.199807591881482","0.188868004777622","0.231218563227888","","",
"Bosnia and Herzegovina","BIH","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.485867069863034","0.428507329513278","0.281865504210914","0.425331640479848","0.466175310966768","0.415674037325696","0.489164591766463","0.471040704524441","0.474310227685697","0.466545633788395","0.459453774656666","0.460784069771736","0.482507614902767","0.480707730682637","0.501089049018181","0.512342867737239","0.514182287090619","0.580053226173841","0.541053599841451","0.525925795543876","0.464216283777075","0.447802784988819","0.494011306884051","0.485682055045967","0.46619267657428","0.423227486462362","0.432718119024104","","",
"Belarus","BLR","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10143866393884","1.07447843914615","1.08396199222224","1.01885044255595","0.978768946418987","0.971762101974003","0.960840572540078","0.87087884749482","0.778638842522206","0.723494450571899","0.659065940482089","0.61450857947518","0.585363925458806","0.555016268158527","0.528596758900029","0.489341519817831","0.463208897593281","0.415883559310823","0.396512445459559","0.375653677439861","0.374480823279935","0.337333956161355","0.339770916109859","0.337256290452383","0.328990277419515","0.315840844071384","0.325974475225576","0.323947797433333","0.330944070363412","0.31747273085643","0.303666475648044","","",
"Belize","BLZ","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.296200817170425","0.343870005895135","0.264200234853342","0.264019700577601","0.262119763017125","0.261831576852125","0.211291236333864","0.256909808322377","0.235833645351036","0.201932744348837","0.204321528789832","0.220325256474957","0.195273944242507","0.178261668143312","0.154785854806045","0.160926496697572","0.163141440465231","0.168344548836574","0.156819976966307","0.185863682860068","0.183311215835171","0.198465755005974","0.15536136895678","0.14623424314634","0.148687158287934","0.201038166970113","0.193972163798829","0.195067297026247","0.189097648675967","0.211993564845623","0.22951519755254","","",
"Bermuda","BMU","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.330493836712379","0.327835209001538","0.33160001856483","0.292031448234484","0.260096911607605","0.224300814690507","0.20737746559234","0.217868662682388","0.19710064152115","0.186292962276075","0.177850704449992","0.168537673649242","0.175534319319941","0.181950399709498","0.184570025716893","0.186185722514383","0.192617975688054","0.204713035399369","0.206244664092906","0.212649228107673","0.221254080403255","0.228755193174742","0.23079852494837","0.23092885319795","0.235335518954601","0.230478909074479","0.235704871701873","0.229391230540813","0.22266984214819","0.217319274957417","0.20045287590601","","",
"Brazil","BRA","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.126240291539317","0.129735243045482","0.131962236304364","0.130242311030358","0.127178079684912","0.132326984117032","0.140805252517752","0.146001246317028","0.150294613083586","0.15493386311299","0.154690332311311","0.155344639258308","0.149977551530353","0.145043287738665","0.144958022206785","0.14181642738471","0.138030336711741","0.136696245587403","0.13784637073658","0.129290285006762","0.136704286962719","0.138207248513655","0.147252234298077","0.153220259647929","0.160209552609209","0.157569094197945","0.150061499505023","0.150953687336698","0.141198304418116","0.139649456500934","0.137672278613346","","",
